semantic_sim,normalized_y,is_max,text_length,has_currency,label
0.0,0.13550488599348534,0,17,0,0
0.0,0.15781758957654723,0,15,0,0
0.0,0.15781758957654723,0,15,0,0
0.0,0.15781758957654723,0,11,0,0
0.0,0.1723127035830619,0,7,0,0
0.569941520690918,0.1791530944625407,0,6,0,0
0.0,0.2547231270358306,0,36,0,0
0.0,0.26302931596091206,1,27,0,1
0.0,0.26188925081433223,1,27,0,1
0.0,0.298371335504886,0,27,0,0
0.0,0.33615635179153097,0,40,0,0
0.0,0.3400651465798046,0,46,0,0
0.0,0.34104234527687294,0,40,0,0
0.0,0.3400651465798046,0,40,0,0
0.0,0.38208469055374594,0,28,0,0
0.0,0.37980456026058634,0,28,0,0
0.0,0.38371335504885995,0,39,0,0
0.0,0.41205211726384366,1,19,0,1
0.6879701614379883,0.4412052117263844,1,41,0,1
0.0,0.46514657980456026,1,40,0,1
0.0,0.48859934853420195,0,44,0,0
0.0,0.5130293159609121,0,28,0,0
0.0,0.711400651465798,0,27,0,0
0.0,0.8254071661237785,0,24,0,0
