semantic_sim,normalized_y,is_max,text_length,has_currency,label
0.0,0.20069721115537847,0.0,37,0.0,0
0.37288886308670044,0.20069721115537847,0.0,14,0.0,0
0.28295981884002686,0.2504980079681275,0.0,34,0.0,0
0.0,0.27465139442231074,0.0,13,0.0,0
0.02519659399986267,0.27465139442231074,0.0,7,0.0,0
0.0,0.274402390438247,0.0,13,0.0,0
0.0,0.274402390438247,0.0,7,0.0,0
0.3277421295642853,0.3754980079681275,0.0,24,0.0,0
0.0,0.3754980079681275,0.0,19,0.0,0
0.0,0.3754980079681275,0.0,10,0.0,0
0.0,0.3754980079681275,0.0,19,0.0,0
0.0,0.40039840637450197,0.0,18,0.0,0
0.0,0.40039840637450197,0.0,15,0.0,0
0.0,0.476593625498008,0.0,8,0.0,0
0.0,0.47460159362549803,1.0,0,0.0,0
0.0,0.576195219123506,0.0,5,0.0,0
0.0,0.5742031872509961,0.0,0,0.0,0
0.0,0.5737051792828686,0.0,0,0.0,0
0.28283578157424927,0.6254980079681275,0.0,3,0.0,0
0.0,0.6235059760956175,0.0,0,0.0,0
0.0,0.6235059760956175,0.0,0,0.0,0
0.0,0.648406374501992,0.0,8,0.0,0
0.0,0.6479083665338645,0.0,1,0.0,0
0.381527304649353,0.6733067729083665,0.0,10,0.0,0
0.27062398195266724,0.6982071713147411,0.0,2,0.0,0
0.0,0.7231075697211156,0.0,15,0.0,0
0.0,0.773406374501992,0.0,2,0.0,1
0.27062398195266724,0.7983067729083665,0.0,2,0.0,0
0.0,0.8222111553784861,0.0,2,0.0,0
0.4084804952144623,0.20337197049525815,0.0,12,0.0,0
0.0,0.22602739726027396,0.0,24,0.0,0
0.3758608102798462,0.2702845100105374,0.0,42,0.0,0
0.0,0.35932560590094836,0.0,29,0.0,0
0.0,0.35932560590094836,0.0,31,0.0,0
0.0,0.38198103266596417,0.0,9,0.0,0
0.0,0.4035827186512118,0.0,0,0.0,0
0.0,0.404899894625922,0.0,5,0.0,0
0.0,0.40569020021074814,0.0,0,0.0,0
0.0,0.4267650158061117,0.0,31,0.0,0
0.0,0.4267650158061117,0.0,28,0.0,0
0.0,0.4488935721812434,0.0,9,0.0,0
0.0,0.4488935721812434,0.0,7,0.0,0
0.0,0.47154899894625923,1.0,0,0.0,0
0.0,0.4707586933614331,0.0,4,0.0,0
0.0,0.4731296101159115,0.0,0,0.0,0
0.0,0.5152792413066386,0.0,8,0.0,0
0.0,0.5389884088514225,0.0,0,0.0,0
0.0,0.5395152792413066,0.0,0,0.0,0
0.0,0.5811380400421496,0.0,7,0.0,0
0.0,0.5811380400421496,0.0,6,0.0,0
0.0,0.6043203371970495,0.0,0,0.0,0
0.0,0.6048472075869337,0.0,0,0.0,0
0.3548702001571655,0.6475237091675448,0.0,8,0.0,0
0.0,0.6506849315068494,0.0,7,0.0,0
0.2640928626060486,0.6938883034773445,0.0,5,0.0,0
0.0,0.7160168598524763,0.0,5,0.0,0
0.4995158910751343,0.7407797681770284,0.0,19,0.0,0
0.0,0.7407797681770284,0.0,3,0.0,0
0.2640928626060486,0.7386722866174921,0.0,5,0.0,0
0.0,0.7608008429926238,0.0,5,0.0,0
0.26942843198776245,0.7829293993677555,0.0,5,0.0,0
0.0,0.8250790305584826,0.0,15,0.0,0
0.25650981068611145,0.8250790305584826,0.0,19,0.0,0
0.0,0.8250790305584826,0.0,16,0.0,0
0.0,0.18167202572347266,0.0,17,0.0,0
0.0,0.2459807073954984,0.0,6,0.0,0
0.0,0.2792068595927117,1.0,6,0.0,0
0.02796415686607361,0.37513397642015006,0.0,14,0.0,0
0.0,0.37513397642015006,0.0,9,0.0,0
0.0,0.37513397642015006,0.0,6,0.0,0
0.0,0.4008574490889603,0.0,4,0.0,0
0.0,0.5032154340836013,0.0,0,0.0,0
0.0,0.5016077170418006,0.0,0,0.0,0
0.0,0.5021436227224009,0.0,0,0.0,0
0.416337788105011,0.5541264737406216,0.0,8,0.0,0
0.0,0.5541264737406216,0.0,0,0.0,0
0.4941751956939697,0.5927116827438371,0.0,25,0.0,1
0.27939316630363464,0.6216505894962486,0.0,8,0.0,0
0.31925061345100403,0.6511254019292605,0.0,9,0.0,0
0.2588980793952942,0.680064308681672,0.0,10,0.0,0
0.0,0.7143622722400857,0.0,25,0.0,1
0.48005086183547974,0.767416934619507,0.0,5,0.0,1
0.0,0.7459807073954984,0.0,0,0.0,0
0.0,0.7733118971061094,0.0,7,0.0,0
0.331438273191452,0.8810289389067524,0.0,2,0.0,0
0.0,0.8815648445873526,0.0,0,0.0,1
0.0,0.8815648445873526,0.0,0,0.0,0
0.5795110464096069,0.9147909967845659,0.0,6,0.0,1
0.0,0.9158628081457664,0.0,0,0.0,0
0.0,0.21734892787524365,0.0,24,0.0,0
0.3758608102798462,0.260233918128655,0.0,42,0.0,0
0.0,0.36306042884990253,0.0,9,0.0,0
0.0,0.3835282651072125,0.0,0,0.0,0
0.0,0.3840155945419103,0.0,0,0.0,0
0.0,0.40497076023391815,0.0,29,0.0,0
0.0,0.42592592592592593,0.0,7,0.0,0
0.0,0.44590643274853803,0.0,0,0.0,0
0.0,0.44639376218323584,0.0,0,0.0,0
0.0,0.48830409356725146,0.0,7,0.0,0
0.0,0.5077972709551657,1.0,0,0.0,0
0.0,0.5073099415204678,0.0,5,0.0,0
0.0,0.5082846003898636,0.0,0,0.0,0
0.0,0.5292397660818714,0.0,30,0.0,0
0.0,0.5501949317738791,0.0,5,0.0,0
0.0,0.5696881091617934,0.0,0,0.0,0
0.0,0.5696881091617934,0.0,0,0.0,0
0.0,0.5901559454191033,0.0,19,0.0,0
0.0,0.6120857699805068,0.0,11,0.0,0
0.0,0.6115984405458089,0.0,4,0.0,0
0.0,0.6115984405458089,0.0,2,0.0,0
0.0,0.6320662768031189,0.0,0,0.0,0
0.0,0.6310916179337231,0.0,0,0.0,0
0.0,0.631578947368421,0.0,0,0.0,0
0.0,0.672514619883041,0.0,8,0.0,0
0.0,0.6739766081871345,0.0,7,0.0,0
0.2574233114719391,0.7134502923976608,0.0,5,0.0,0
0.0,0.7344054580896686,0.0,4,0.0,0
0.2574233114719391,0.7548732943469786,0.0,5,0.0,0
0.46121490001678467,0.7811890838206628,0.0,4,0.0,1
0.0,0.7763157894736842,0.0,5,0.0,0
0.27062398195266724,0.7958089668615984,0.0,2,0.0,0
0.2502332329750061,0.8367446393762183,0.0,15,0.0,0
0.0,0.8367446393762183,0.0,19,0.0,0
0.0,0.8367446393762183,0.0,21,0.0,0
0.0,0.8367446393762183,0.0,21,0.0,0
0.2647097706794739,0.20413223140495868,0.0,19,0.0,0
0.0,0.20413223140495868,0.0,21,0.0,0
0.0,0.20413223140495868,0.0,21,0.0,0
0.0,0.31900826446280994,0.0,8,0.0,0
0.0,0.31900826446280994,1.0,3,0.0,0
0.0,0.4140495867768595,0.0,16,0.0,0
0.0,0.456198347107438,0.0,21,0.0,0
0.26736655831336975,0.456198347107438,0.0,18,0.0,0
0.2812129557132721,0.456198347107438,0.0,12,0.0,0
0.29531365633010864,0.49504132231404957,0.0,8,0.0,0
0.0,0.6123966942148761,0.0,7,0.0,0
0.0,0.6099173553719008,0.0,0,0.0,0
0.0,0.6140495867768595,0.0,0,0.0,1
0.5795110464096069,0.6685950413223141,0.0,6,0.0,1
0.5653362274169922,0.7057851239669422,0.0,13,0.0,1
0.3704918622970581,0.7462809917355372,0.0,13,0.0,0
0.0,0.7859504132231405,0.0,7,0.0,0
0.3369174003601074,0.8991735537190083,0.0,17,0.0,0
0.0,0.8991735537190083,0.0,3,0.0,0
0.0,0.22350427350427352,0.0,20,0.0,0
0.0,0.22350427350427352,0.0,20,0.0,0
0.0,0.22350427350427352,0.0,24,0.0,0
0.0,0.22350427350427352,0.0,19,0.0,0
0.0,0.222008547008547,0.0,14,0.0,0
0.0,0.222008547008547,0.0,8,0.0,0
0.0,0.2641025641025641,1.0,6,0.0,0
0.0,0.3141025641025641,0.0,14,0.0,0
0.0,0.3141025641025641,0.0,14,0.0,0
0.0,0.3141025641025641,0.0,11,0.0,0
0.0,0.33547008547008544,0.0,5,0.0,0
0.3222535252571106,0.41623931623931626,0.0,3,0.0,0
0.0,0.4153846153846154,0.0,0,0.0,0
